0 	5.44134e-07
0.01 	5.44134e-07
0.02 	5.44134e-07
0.03 	5.44134e-07
0.04 	5.44134e-07
0.05 	5.44134e-07
0.06 	5.44134e-07
0.07 	5.44134e-07
0.08 	5.44134e-07
0.09 	5.44134e-07
0.1 	5.44134e-07
0.11 	5.44134e-07
0.12 	5.44134e-07
0.13 	5.44134e-07
0.14 	5.44134e-07
0.15 	5.44134e-07
0.16 	5.44134e-07
0.17 	5.44134e-07
0.18 	5.44135e-07
0.19 	5.44135e-07
0.2 	5.4413e-07
0.21 	5.44126e-07
0.22 	5.44147e-07
0.23 	5.44189e-07
0.24 	5.44136e-07
0.25 	5.43894e-07
0.26 	5.43857e-07
0.27 	5.44785e-07
0.28 	5.45806e-07
0.29 	5.43004e-07
0.3 	5.36036e-07
0.31 	5.41417e-07
0.32 	5.81856e-07
0.33 	6.18083e-07
0.34 	4.92263e-07
0.35 	1.04859e-07
0.36 	-9.2764e-08
0.37 	1.05666e-06
0.38 	3.884e-06
0.39 	4.58545e-06
0.4 	-5.44624e-06
0.41 	-3.00388e-05
0.42 	-4.39468e-05
0.43 	1.17198e-05
0.44 	0.000224782
0.45 	0.000419138
0.46 	0.000575531
0.47 	-0.00128761
0.48 	-0.00174432
0.49 	-0.0113631
0.5 	0.00103623
0.51 	0.0366327
0.52 	0.101825
0.53 	0.196396
0.54 	0.313998
0.55 	0.443591
0.56 	0.571861
0.57 	0.685788
0.58 	0.774694
0.59 	0.831483
0.6 	0.85306
0.61 	0.840102
0.62 	0.796424
0.63 	0.728111
0.64 	0.642569
0.65 	0.54759
0.66 	0.450516
0.67 	0.357579
0.68 	0.273463
0.69 	0.201129
0.7 	0.141875
0.71 	0.0955957
0.72 	0.0611491
0.73 	0.036763
0.74 	0.0204071
0.75 	0.0100862
0.76 	0.00403476
0.77 	0.000817031
0.78 	-0.000650371
0.79 	-0.00112792
0.8 	-0.00111084
0.81 	-0.00089533
0.82 	-0.000640396
0.83 	-0.000418392
0.84 	-0.000252209
0.85 	-0.000140136
0.86 	-7.08698e-05
0.87 	-3.15233e-05
0.88 	-1.1167e-05
0.89 	-1.84251e-06
0.9 	1.64837e-06
0.91 	2.39553e-06
0.92 	2.06783e-06
0.93 	1.46934e-06
0.94 	9.27267e-07
0.95 	5.33894e-07
0.96 	2.82779e-07
0.97 	1.37212e-07
0.98 	5.98054e-08
0.99 	2.21705e-08
1 	2.21705e-08
